8	0	50	0.097	0	-0.8747	0.8797		0.0105	0	-0.0041	0	0.0105	83.78095238
10	0	50	0.1039	0	-0.7879	0.794		0.011	0	-0.0048	0	0.011	72.18181818
12	0	50	0.1482	0	-0.9145	0.9253		0.0116	0	-0.0055	0	0.0116	79.76724138
14	0	50	0.176	0	-0.9438	0.9584		0.0122	0	-0.0062	0	0.0122	78.55737705
16	0	50	0.2256	0	-1.0472	1.0688		0.0128	0	-0.0077	0	0.0128	83.5
18	0	50	0.2593	0	-1.0814	1.1086		0.0135	0	-0.0095	0	0.0135	82.11851852
20	0	50	0.2868	0	-1.0946	1.1266		0.0142	0	-0.0107	0	0.0142	79.33802817
22	0	50	0.2991	0	-1.0705	1.1046		0.0149	0	-0.0132	0	0.0149	74.13422819
24	0	50	0.3364	0	-1.1103	1.1512		0.0159	0	-0.0176	0	0.0159	72.40251572
26	0	50	0.3691	0	-1.135	1.1819		0.0166	0	-0.0234	0	0.0166	71.19879518
28	0	50	0.3929	0	-1.1405	1.1914		0.0173	0	-0.0317	0	0.0173	68.86705202
30	0	50	0.4079	0	-1.1325	1.1847		0.0184	0	-0.042	0	0.0184	64.38586957
32	0	50	0.421	0	-1.1228	1.1753		0.0192	0	-0.0505	0	0.0192	61.21354167
34	0	50	0.4302	0	-1.1104	1.1611		0.0204	0	-0.0606	0	0.0204	56.91666667
36	0	50	0.3585	0	-0.9885	1.0104		0.0211	0	-0.0704	0	0.0211	47.88625592
38	0	50	0.3589	0	-0.9774	0.9911		0.0223	0	-0.0793	0	0.0223	44.44394619
40	0	50	0.3586	0	-0.9669	0.9712		0.0229	0	-0.0876	0	0.0229	42.41048035
